ID,Dut,Pad,CX,CY
360,7,96,-56085.7,55509.2
361,9,2,-14071.7,46507
362,9,3,-14134.6,46509
363,9,5,-14276.8,46508
364,9,7,-14417.2,46510.4
365,9,9,-14555.7,46509.8
366,9,11,-14696.3,46507.3
367,9,13,-14836.5,46510.4
368,9,15,-14978.4,46506.6
369,9,16,-15044.1,46511.6
370,9,17,-15115.3,46507.5
371,9,18,-15186.6,46510.1
372,9,20,-15327.4,46509.5
373,9,22,-15466.8,46508.5
374,9,24,-15607.4,46511.1
375,9,26,-15745.9,46508.8
376,9,27,-15816.7,46509.5
377,9,28,-15976.1,46511.1
378,9,29,-16045.8,46508.1
379,9,30,-16116.3,46509
380,9,31,-16183.9,46508.5
381,9,32,-16257.4,46508
382,9,33,-16326.9,46508.1
383,9,34,-16396.6,46511.5
384,9,35,-16463.5,46507.7
385,9,36,-16537.1,46509.9
386,9,37,-16607.5,46508
387,9,38,-16675.5,46510.9
388,9,39,-16742.8,46507.9
389,9,40,-16815.1,46509
390,9,42,-16957.5,46507.5
391,9,44,-17095.2,46507.3
392,9,46,-17238.8,46508.9
393,9,48,-17375.1,46509.9
394,9,50,-17516.7,46508.5
395,9,52,-17656,46511.5
396,9,54,-17797,46509.5
397,9,55,-17859.8,46507.5
398,9,56,-17927.8,46506.9
399,9,57,-18387.4,46505.8
400,9,58,-18453.5,46507.7
401,9,59,-18520.5,46507.2
402,9,60,-18590.9,46509.1
403,9,62,-18726.5,46509.1
404,9,63,-18792.6,46507.5
405,9,64,-18861.9,46507.2
406,9,66,-19000,46508.8
407,9,67,-19066.2,46510.5
408,9,69,-19201.9,46508.8
409,9,71,-19344.7,46510.8
410,9,72,-19410.9,46509.3
411,9,73,-19477.3,46508.5
412,9,74,-19545.3,46511.7
413,9,75,-19613.9,46506.8
414,9,77,-19749.1,46506.8
415,9,78,-19817.9,46510.4
416,9,79,-19887.7,46508.7
417,9,80,-19954,46511.5
418,9,81,-20024.5,46505.6
419,9,82,-20091.3,46508.9
420,9,83,-20159.6,46508.7
421,9,84,-20227.8,46506
422,9,85,-20295.9,46508.7
423,9,86,-20362.7,46510.6
424,9,87,-20432.4,46507.8
425,9,88,-20497.6,46506.5
426,9,89,-20569,46506.2
427,9,91,-20772.9,46508.4
428,9,92,-20840.9,46508.8
429,9,93,-20906.2,46507.4
430,9,94,-20840.4,46759.2
431,9,95,-20774.4,46758.9
432,9,96,-20704.7,46758.1
433,10,2,-6992.8,46508.3
434,10,3,-7058.1,46508.1
435,10,5,-7200,46510
436,10,7,-7342.7,46507
437,10,9,-7481.5,46508.7
438,10,11,-7620.1,46505.3
439,10,13,-7761.5,46510.5
440,10,15,-7900.8,46506.5
441,10,16,-7967.5,46507.1
442,10,17,-8042.3,46507
443,10,18,-8108.4,46509.8
444,10,20,-8250.9,46506.7
445,10,22,-8390.2,46509.2
446,10,24,-8530.3,46510.7
447,10,26,-8672.7,46508.4
448,10,27,-8741.4,46509.5
449,10,28,-8896.6,46510.5
450,10,29,-8967.8,46509
451,10,30,-9040.5,46509.4
452,10,31,-9110.6,46505.9
453,10,32,-9179.6,46509.5
454,10,33,-9251.1,46510.9
455,10,34,-9318.4,46506.2
456,10,35,-9392.4,46509.7
457,10,36,-9458.2,46508.6
458,10,37,-9530.9,46508.5
459,10,38,-9597.9,46508.7
460,10,39,-9670.3,46509.8
461,10,40,-9739.2,46510.2
462,10,42,-9879,46508.7
463,10,44,-10019,46510.4
464,10,46,-10161.6,46510.7
465,10,48,-10297.6,46508.8
466,10,50,-10437.6,46509
467,10,52,-10579.8,46510.1
468,10,54,-10721,46509.7
469,10,55,-10786.2,46507.7
470,10,56,-10852.9,46510.7
471,10,57,-11312.3,46507
472,10,58,-11377,46508.6
473,10,59,-11446.3,46509.4
474,10,60,-11514.3,46507
475,10,62,-11648.1,46506.9
476,10,63,-11718.2,46510.7
477,10,64,-11789.3,46505.9
478,10,66,-11924.7,46507.7
479,10,67,-11991.9,46508.6
480,10,69,-12128.5,46506.6
481,10,71,-12264.5,46506.7
482,10,72,-12334.9,46511.2
483,10,73,-12401.1,46510.8
484,10,74,-12470.9,46511.2
485,10,75,-12538.1,46507.4
486,10,77,-12676.5,46508.6
487,10,78,-12743.4,46511.2
488,10,79,-12813,46506.6
489,10,80,-12879,46507
490,10,81,-12947.3,46506.4
491,10,82,-13014.7,46511.9
492,10,83,-13082.6,46509.2
493,10,84,-13151.2,46509.6
494,10,85,-13220.7,46510.6
495,10,86,-13287.4,46509.7
496,10,87,-13357.9,46507.3
497,10,88,-13423.9,46509.7
498,10,89,-13491.5,46508.2
499,10,91,-13698.4,46508.1
500,10,92,-13766.2,46508.9
501,10,93,-13831.7,46509.4
502,10,94,-13766,46758.5
503,10,95,-13700.7,46760.8
504,10,96,-13628.7,46759.2
505,11,2,80,43592.4
506,11,3,17.1,43589.8
507,11,5,-129.1,43589.5
508,11,7,-267.5,43591.6
509,11,9,-407.9,43592.1
510,11,11,-543.7,43593.5
511,11,13,-687.4,43591.5
512,11,15,-826.4,43591.3
513,11,16,-895.6,43590.1
514,11,17,-968.3,43591.6
515,11,18,-1036.5,43592.5
516,11,20,-1178.2,43590.1
517,11,22,-1316.2,43590.8
518,11,24,-1457.8,43590.3
519,11,26,-1598.8,43591.5
520,11,27,-1666.5,43593.9
521,11,28,-1825.8,43589.1
522,11,29,-1893.9,43591.5
523,11,30,-1964.4,43592
524,11,31,-2035.1,43591.4
525,11,32,-2104.7,43590.1
526,11,33,-2173.3,43592
527,11,34,-2244.9,43591.4
528,11,35,-2317.5,43591.5
529,11,36,-2386.7,43592.7
530,11,37,-2456.1,43591.9
531,11,38,-2522.8,43590.1
532,11,39,-2595.1,43591.3
533,11,40,-2664.4,43590.6
534,11,42,-2808.7,43590
535,11,44,-2943.5,43590.9
536,11,46,-3086.3,43590.9
537,11,48,-3223.1,43591.4
538,11,50,-3364.6,43591.3
539,11,52,-3502.6,43590.8
540,11,54,-3645.9,43592.3
541,11,55,-3711.7,43591.8
542,11,56,-3779.2,43592.2
543,11,57,-4235.4,43592.7
544,11,58,-4302.7,43591.6
545,11,59,-4372.6,43591.6
546,11,60,-4439.1,43593.4
547,11,62,-4575.5,43591.6
548,11,63,-4643.8,43591.8
549,11,64,-4712.4,43593
550,11,66,-4847.2,43589.9
551,11,67,-4913.6,43594.1
552,11,69,-5051.8,43592.3
553,11,71,-5190.2,43590.9
554,11,72,-5259.9,43590.8
555,11,73,-5329.6,43591.9
556,11,74,-5396.2,43593.3
557,11,75,-5463.3,43591.1
558,11,77,-5601.6,43591.6
559,11,78,-5668.7,43591.3
560,11,79,-5740.7,43589.9
561,11,80,-5802.7,43590.1
562,11,81,-5872.6,43590.6
563,11,82,-5941.3,43592.4
564,11,83,-6009.1,43591.2
565,11,84,-6075.7,43593.6
566,11,85,-6145.4,43591.2
567,11,86,-6213.2,43590.3
568,11,87,-6282.5,43589.4
569,11,88,-6347,43591.9
570,11,89,-6417.9,43592.6
571,11,91,-6624.3,43590.9
572,11,92,-6688.9,43589.4
573,11,93,-6757.6,43592.3
574,11,94,-6689.1,43839.2
575,11,95,-6623.4,43843.6
576,11,96,-6553.2,43839.2
577,13,2,-14068.7,34838.1
578,13,3,-14134,34841.2
579,13,5,-14274.9,34838.9
580,13,7,-14418.5,34841.5
581,13,9,-14557.5,34838.2
582,13,11,-14696.1,34841.9
583,13,13,-14837.5,34841
584,13,15,-14977.9,34838.6
585,13,16,-15045.4,34842.1
586,13,17,-15116.4,34838.2
587,13,18,-15188.5,34841.8
588,13,20,-15327.2,34839.9
589,13,22,-15467.2,34839
590,13,24,-15608.4,34838.7
591,13,26,-15748.8,34839.9
592,13,27,-15817.4,34838.9
593,13,28,-15976.9,34840.4
594,13,29,-16044.8,34839.4
595,13,30,-16116.8,34841
596,13,31,-16185.6,34836.2
597,13,32,-16259.5,34840.5
598,13,33,-16325.1,34837.2
599,13,34,-16396.9,34840.9
600,13,35,-16464.7,34837.6
601,13,36,-16538.9,34840.2
602,13,37,-16605.1,34835.9
603,13,38,-16676.4,34843.1
604,13,39,-16745,34838.1
605,13,40,-16816.6,34841.3
606,13,42,-16956,34839.5
607,13,44,-17097.9,34842.7
608,13,46,-17238.6,34836.4
609,13,48,-17375.7,34840.9
610,13,50,-17515.8,34839.1
611,13,52,-17657,34839.7
612,13,54,-17795.5,34838.2
613,13,55,-17859.3,34839.2
614,13,56,-17929,34839.9
615,13,57,-18383.8,34839.5
616,13,58,-18452.9,34841.2
617,13,59,-18519.4,34840.2
618,13,60,-18591,34841
619,13,62,-18724,34839.4
620,13,63,-18795.8,34838.5
621,13,64,-18861.8,34838.1
622,13,66,-18997.4,34839.1
623,13,67,-19066.3,34839.4
624,13,69,-19201.4,34835.6
625,13,71,-19341.1,34838.9
626,13,72,-19411.6,34840.5
627,13,73,-19477.4,34839.1
628,13,74,-19545.1,34842.3
629,13,75,-19613.6,34839.9
630,13,77,-19751.9,34838.5
631,13,78,-19820.1,34840.8
632,13,79,-19887,34839.9
633,13,80,-19956,34842.5
634,13,81,-20023.9,34838.9
635,13,82,-20092,34839.5
636,13,83,-20157.5,34835.5
637,13,84,-20227.9,34842.2
638,13,85,-20296,34839.8
639,13,86,-20363.4,34840.2
640,13,87,-20430,34838.8
641,13,88,-20499.7,34841
642,13,89,-20566.8,34839.7
643,13,91,-20770.9,34840.4
644,13,92,-20842.4,34838.9
